attribution_id,strategy_id,regime,granularity,scope,trade_count,win_rate,profit_factor,sharpe,expectancy,max_drawdown,avg_r,win_rate_shrunk,profit_factor_shrunk,sharpe_shrunk,low_confidence,model_version,qualification_run_id,created_at,recovery_factor,oos_months
3457,1,High-Vol,H1,PORTFOLIO,744,0.353494623655914,0.977065736892611,-0.24162458363423003,-0.012789903989600776,0.19835566416701134,1.7353854132868765,0.353494623655914,0.977065736892611,-0.24162458363423003,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.6915232852272477,17.67
3458,1,Trending-Down,H1,PORTFOLIO,565,0.31504424778761064,0.8197837098986398,-1.5585016306926818,-0.10629664908260948,0.4982321957433362,1.763221945871376,0.31504424778761064,0.8197837098986398,-1.5585016306926818,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.946922298681699,23.72
3459,1,Trending-Up,H1,PORTFOLIO,877,0.29418472063854045,0.741220272943208,-2.9405751454775517,-0.15994758106748985,0.7754423261648763,1.7783540657048285,0.29418472063854045,0.741220272943208,-2.9405751454775517,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.9904506046443806,23.72
3460,1,UNKNOWN,H1,PORTFOLIO,5766,0.3152965660770031,0.8273751536872644,-2.8509961792490803,-0.10251863241192127,0.9984034077174649,1.7781109938609425,0.3152965660770031,0.8273751536872644,-2.8509961792490803,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.999765853162465,66.06
3461,2,High-Vol,H4,PORTFOLIO,51,0.3333333333333333,0.8327731067177493,-0.4465529160250956,-0.11101638913082486,0.1333117884540102,1.6655462134354986,0.3333333333333333,0.8327731067177493,-0.4465529160250956,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.4413507935696779,23.62
3462,2,Ranging,H4,PORTFOLIO,148,0.36486486486486486,0.9490704143535432,-0.21857767894199273,-0.03237191135574395,0.2244182007194324,1.6520855360969084,0.36486486486486486,0.9490704143535432,-0.21857767894199273,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.2594621469330279,23.62
3463,2,Trending-Down,H4,PORTFOLIO,8,0.375,0.6618630262170084,-0.4415812719665103,-0.2130251888537013,0.02668058854459343,1.103105043695014,0.375,0.6618630262170084,-0.4415812719665103,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.6503775812852572,17.58
3464,2,UNKNOWN,H4,PORTFOLIO,457,0.3085339168490153,0.7414650449926494,-1.3833451349619421,-0.17728461460468625,0.5977111246278255,1.6617230795579945,0.3085339168490153,0.7414650449926494,-1.3833451349619421,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.9543939795036877,60.02
3465,3,High-Vol,H4,PORTFOLIO,51,0.3333333333333333,0.8327731067177493,-0.4465529160250956,-0.11101638913082486,0.1333117884540102,1.6655462134354986,0.3333333333333333,0.8327731067177493,-0.4465529160250956,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.4413507935696779,23.62
3466,3,Ranging,H4,PORTFOLIO,148,0.36486486486486486,0.9490704143535432,-0.21857767894199273,-0.03237191135574395,0.2244182007194324,1.6520855360969084,0.36486486486486486,0.9490704143535432,-0.21857767894199273,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.2594621469330279,23.62
3467,3,Trending-Down,H4,PORTFOLIO,8,0.375,0.6618630262170084,-0.4415812719665103,-0.2130251888537013,0.02668058854459343,1.103105043695014,0.375,0.6618630262170084,-0.4415812719665103,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.6503775812852572,17.58
3468,3,UNKNOWN,H4,PORTFOLIO,457,0.3085339168490153,0.7414650449926494,-1.3833451349619421,-0.17728461460468625,0.5977111246278255,1.6617230795579945,0.3085339168490153,0.7414650449926494,-1.3833451349619421,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.9543939795036877,60.02
3469,4,High-Vol,H1,PORTFOLIO,1344,0.33035714285714285,0.9116940223442005,-1.2683950748822206,-0.05437464130138174,0.611623543873995,1.7991837786084663,0.33035714285714285,0.9116940223442005,-1.2683950748822206,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.9312513977359888,17.67
3470,4,Trending-Down,H1,PORTFOLIO,970,0.311340206185567,0.8506669932350965,-1.6065169496901333,-0.09059167258780378,0.6556868144988509,1.845891776170275,0.311340206185567,0.8506669932350965,-1.6065169496901333,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.937833735698152,23.72
3471,4,Trending-Up,H1,PORTFOLIO,1568,0.305484693877551,0.8467637906370604,-2.113809210547052,-0.09515943277682405,0.8110552074253833,1.8964709691127553,0.305484693877551,0.8467637906370604,-2.113809210547052,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.9884873110312051,23.72
3472,4,UNKNOWN,H1,PORTFOLIO,10383,0.3141673890012521,0.8654155567378917,-2.829940703882288,-0.08256110771961843,0.9999273543422476,1.8498290217005464,0.3141673890012521,0.8654155567378917,-2.829940703882288,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.9999902917317615,66.06
3473,5,High-Vol,H4,PORTFOLIO,94,0.32978723404255317,0.967972046864507,-0.10527851843427262,-0.02123406806886178,0.18415349956449098,1.9671689984665788,0.32978723404255317,0.967972046864507,-0.10527851843427262,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.15490097867375774,23.62
3474,5,Ranging,H4,PORTFOLIO,400,0.3075,0.8592306019310552,-1.0173878416749413,-0.09764253229664434,0.5273910001588442,1.9350152580073356,0.3075,0.8592306019310552,-1.0173878416749413,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.6600755765443513,23.62
3475,5,Trending-Down,H4,PORTFOLIO,16,0.375,0.98855749086717,-0.015026801215299148,-0.0072035426285547155,0.050282336986097804,1.6475958181119503,0.375,0.98855749086717,-0.015026801215299148,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.05056934522441417,23.62
3476,5,UNKNOWN,H4,PORTFOLIO,1324,0.31419939577039274,0.8966159550026561,-0.8358099695954265,-0.07083730579228376,0.7187143457228998,1.9570367479384898,0.31419939577039274,0.8966159550026561,-0.8358099695954265,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.9108924564977038,60.02
3477,6,High-Vol,H4,PORTFOLIO,40,0.2,0.9477929115953413,-0.0966336169188418,-0.042315568256950674,0.1358875304191659,3.791171646381365,0.2,0.9477929115953413,-0.0966336169188418,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.17730740518922497,23.62
3478,6,Ranging,H4,PORTFOLIO,251,0.24302788844621515,1.1088850058501865,0.4663314455607438,0.08323077288268195,0.21761555001940133,3.4539041165825477,0.24302788844621515,1.1088850058501865,0.4663314455607438,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,0.79208254823663,23.62
3479,6,Trending-Down,H4,PORTFOLIO,6,0.0,0.0,-10.0,-1.0098987831045678,0.05908453200025077,0.0,0.0,0.0,-10.0,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-1.0,17.58
3480,6,UNKNOWN,H4,PORTFOLIO,704,0.17329545454545456,0.7729756345318378,-1.228942827405352,-0.18955075438228286,0.7694452543428694,3.651210111081283,0.17329545454545456,0.7729756345318378,-1.228942827405352,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.9951833454821123,60.02
3481,7,High-Vol,H1,PORTFOLIO,877,0.4789053591790194,0.8642726727817885,-1.7669583274181024,-0.07132758704287936,0.5135641770128327,0.9404109796697079,0.4789053591790194,0.8642726727817885,-1.7669583274181024,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.9491094990820623,17.67
3482,7,Trending-Down,H1,PORTFOLIO,439,0.47380410022779046,0.8579583669636093,-1.1318412748624556,-0.07475194727292064,0.3428392701839485,0.9441647100556466,0.47380410022779046,0.8579583669636093,-1.1318412748624556,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.8603790850440635,23.72
3483,7,Trending-Up,H1,PORTFOLIO,951,0.491062039957939,0.9039772557220287,-1.0952044959807798,-0.0488277139472313,0.44698222336011867,0.9368843506840725,0.491062039957939,0.9039772557220287,-1.0952044959807798,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.8936773426042784,23.72
